,restaurant.name,restaurant.cuisines,restaurant.average_cost_for_two,restaurant.user_rating.aggregate_rating,restaurant.timings,restaurant.all_reviews_count,restaurant.user_rating.votes,restaurant.location.latitude,restaurant.location.longitude,coordinate,Arts_Entertainment,College_University,Event,Nightlife_Spot,Outdoors_Recreation,Professional_n_Other_Places,Shop_Service,Travel_Transport,Residence
0,City Cafe,"Diner, Seafood, Southern",10,3.8,"(Sun, Sat), Breakfast, Lunch (Mon-Fri)",38,288.0,33.2181,-87.5783,"(33.2181, -87.5783)",4,0,1,1,0,1,0,2,0
1,Swen Chinese Restaurant,Chinese,25,3.6,"11 AM to 10 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 11 PM (Fri-Sat)",37,192.0,33.21082,-87.55275,"(33.21082, -87.55275)",6,23,1,9,4,4,4,0,1
2,DePalma's Italian Cafe,Italian,40,3.8,"Closed (Mon),11 AM to 10 PM (Tue-Thu),11 AM to 11 PM (Fri-Sat),11 AM to 9 PM (Sun)",93,428.0,33.2104,-87.5671,"(33.2104, -87.5671)",11,0,2,17,3,6,2,7,1
3,Cypress Inn,"American, Seafood, Steak",40,3.5,"11 AM to 9 PM (Mon-Thu), 11 AM to 10 PM (Fri-Sat), 11 AM to 8 PM (Sun)",60,303.0,33.22921,-87.52863,"(33.22921, -87.52863)",0,0,0,0,0,2,0,0,1
4,Mugshots Grill & Bar,"American, Burger, Bar Food",10,3.6,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),11 AM to 9 PM (Sun)",74,295.0,33.2096,-87.5681,"(33.2096, -87.5681)",11,0,2,17,3,6,2,7,1
5,Hooligan's American,"American, Mediterranean",10,3.6,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",39,246.0,33.2115,-87.5618,"(33.2115, -87.5618)",9,0,2,24,3,5,4,7,1
6,Dreamland BBQ Tuscaloosa,"BBQ, Desserts",25,3.5,"10 AM to 9 PM (Mon-Sat), 11 AM to 9 PM (Sun)",62,266.0,33.15737,-87.51676,"(33.15737, -87.51676)",0,0,0,0,0,0,0,0,0
7,Chuck's Fish,"American, Seafood, Sushi",40,3.5,"5 PM to 10 PM (Mon-Thu),5 PM to 11 PM (Fri-Sat),Closed (Sun)",47,242.0,33.209613,-87.568381,"(33.209613, -87.568381)",11,0,2,17,3,6,2,7,1
8,Waysider,"American, Breakfast, Southern",10,3.6,"Closed (Mon),5:30 AM to 2 PM (Tue-Fri),5:30 AM to 12 Noon (Sat),6:30 AM to 1 PM (Sun)",39,236.0,33.1996,-87.5643,"(33.1996, -87.5643)",3,0,1,2,2,3,0,1,1
9,Nick's in the Sticks,Steak,25,3.7,"5 PM to 9 PM (Mon-Thu),5 PM to 10 PM (Fri-Sat),Closed (Sun)",38,207.0,33.177203,-87.614321,"(33.177203, -87.614321)",0,0,0,0,0,0,0,0,0
10,Hokkaido,"Japanese, Sushi",40,3.7,"11 AM to 2:30 PM, 4:30 PM to 10 PM (Mon-Thu, Sun), 11 AM to 2:30 PM, 4:30 PM to 11 PM (Fri-Sat)",43,234.0,33.1968566,-87.5282368,"(33.1968566, -87.5282368)",0,1,0,1,3,3,16,0,4
11,Baumhower's Restaurant,"American, Burger, Steak",25,3.5,"9:50 AM a 10:10 AM (Seg),10 AM a 8 PM (Ter-Dom)",106,214.0,33.212937,-87.523579,"(33.212937, -87.523579)",0,2,0,1,2,2,0,1,5
12,Five Bar Tuscaloosa,Coffee and Tea,40,3.6,"5 PM to 10 PM (Mon-Thu),11 AM to 12 Midnight (Fri-Sat),10:30 AM to 10 PM (Sun)",50,200.0,33.209271,-87.566952,"(33.209271, -87.566952)",11,0,2,17,3,6,2,6,1
13,Surin of Thailand,"Sushi, Thai",25,3.6,"11 AM to 2 PM, 4:30 PM to 9:30 PM (Mon-Thu),11 AM to 2 PM, 4:30 PM to 10 PM (Fri),11:30 AM to 2:30 PM, 5 PM to 10 PM (Sat),11:30 AM to 2:30 PM, 5 PM to 9:30 PM (Sun)",43,201.0,33.211304,-87.55533,"(33.211304, -87.55533)",7,16,1,11,4,3,3,2,1
14,Rama Jamas,"American, Burger",10,3.6,"(Sun),Breakfast, Lunch (Mon-Sat)",38,188.0,33.2065,-87.5517,"(33.2065, -87.5517)",5,24,1,8,3,3,4,0,3
15,Kobe Japanese Steakhouse & Sushi Bar,"Japanese, Sushi",40,3.5,"11 AM to 2 PM, 4:30 PM to 10 PM (Mon-Thu),11 AM to 2 PM, 4:30 PM to 11 PM (Fri),11:30 AM to 11 PM (Sat),11:30 AM to 10 PM (Sun)",38,145.0,33.194413,-87.526284,"(33.194413, -87.526284)",1,1,0,1,3,2,16,1,2
16,Ichiban Japanese Grill & Sushi,"Japanese, Sushi",10,3.6,"Lunch, Dinner (Sun, Tue, Wed, Fri, Sat),  (Mon),Dinner (Thu)",27,138.0,33.198892,-87.541599,"(33.198892, -87.541599)",2,1,0,1,1,3,1,1,4
17,Iguana Grill,"Mexican, Seafood",25,3.4,,35,140.0,33.2355725,-87.5497772,"(33.2355725, -87.5497772)",1,0,0,0,4,1,0,1,1
18,Newk's Eatery,"American, Sandwich",10,3.6,"11 AM to 10 PM (Mon-Sat), Sun Closed",22,140.0,33.206873,-87.533615,"(33.206873, -87.533615)",2,3,0,1,4,2,2,1,3
19,Ruan Thai Restaurant Authentic,"Thai, Vegetarian",25,3.6,"(Sun),Lunch, Dinner (Mon-Fri),Dinner (Sat)",32,127.0,33.2112,-87.5559,"(33.2112, -87.5559)",8,15,1,13,4,3,3,2,1
20,Lai Lai Restaurant,"Asian, Chinese",10,3.4,"11 AM to 2 PM, 5 PM to 9 PM (Mon-Sun)",29,85.0,33.229768,-87.5330649,"(33.229768, -87.5330649)",1,0,0,0,1,2,0,1,0
21,Mr Chen's Authentic Cooking and Oriental Market,"Asian, Chinese, Hawaiian",10,3.6,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",27,127.0,33.2000455,-87.5435632,"(33.2000455, -87.5435632)",2,4,0,1,1,3,1,1,4
22,Edelweiss German Bakery and Cafe,"Bakery, German",25,3.6,"6:30 AM to 5 PM (Mon-Sat),8 AM to 2 PM (Sun)",20,120.0,33.211245,-87.567738,"(33.211245, -87.567738)",10,0,2,17,3,6,2,7,1
23,Los Tarascos,Mexican,10,3.5,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",28,106.0,33.1684,-87.5146,"(33.1684, -87.5146)",0,0,0,0,0,2,0,2,1
24,Glory Bound Gyro Co,"American, Mediterranean",10,3.5,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),11 AM to 9 PM (Sun)",31,114.0,33.20968,-87.568116,"(33.20968, -87.568116)",11,0,2,17,3,6,2,7,1
25,Taco Casa,"Fast Food, Mexican",10,3.5,"10:30 AM to 11 PM (Mon, Tue, Wed, Thu, Sun), 10:30 AM to 12 Midnight (Fri-Sat)",22,121.0,33.237149,-87.566315,"(33.237149, -87.566315)",0,0,0,0,3,0,0,1,1
26,Broadway Pizzeria,"Italian, Pizza",10,3.5,"11 AM to 9:30 PM (Mon-Thu, Sun), 11 AM to 10:30 PM (Fri-Sat)",34,106.0,33.24228,-87.51215,"(33.24228, -87.51215)",0,0,0,0,0,1,0,0,0
